STT,District,District Code - Old MDR map,District Code - Updated MDR map,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
3,Châu Thành,32,5,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,1,6,5,0,0,0,0,2,0,3,3,0,0,0,0,3,3,6,6,0,0,0,0,4,3,5,5,0,0,0,0,5,5,4,4,0,0,0,0,3,2,3,1,0,0,0,0,5,2,2,2,0,0,0,0,5,3,2,2,0,0,0,0,2,1,2,2,0,0,0,0,44,27,35,32,0,0,0,0,,,,,,,,,,,,,,,,
4,Châu Phú,28,4,4,3,5,2,0,0,0,0,3,3,1,1,0,0,0,0,5,4,5,4,0,0,1,1,9,7,6,6,0,0,0,0,12,11,3,3,0,0,0,0,23,23,6,6,0,0,0,0,16,12,5,3,0,0,0,0,19,15,12,7,0,0,0,0,12,8,13,11,0,0,0,0,9,3,1,0,0,0,0,0,11,3,3,3,0,0,0,0,12,5,9,7,0,0,0,0,135,97,69,53,0,0,1,1,,,,,,,,,,,,,,,,
5,Phú Tân,27,7,1,0,4,2,0,0,0,0,4,1,2,2,0,0,0,0,4,3,3,3,0,0,0,0,7,5,9,7,0,0,1,1,15,6,18,15,0,0,0,0,11,6,9,8,0,0,0,0,9,5,13,9,0,0,0,0,13,9,17,12,0,0,0,0,5,1,10,5,0,0,0,0,4,2,19,17,0,0,0,0,5,3,11,9,0,0,0,0,0,0,3,3,0,0,0,0,78,41,118,92,0,0,1,1,,,,,,,,,,,,,,,,
6,Tân Châu,26,9,2,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1,7,6,0,0,0,0,2,2,5,5,0,0,0,0,5,1,2,1,0,0,0,0,0,0,6,5,0,0,0,0,9,3,8,6,0,0,0,0,18,18,19,19,0,0,0,0,7,5,16,11,0,0,0,0,11,2,15,11,0,0,0,0,,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,56,34,84,70,0,0,0,0,,,,,,,,,,,,,,,,
7,Chợ Mới,31,2,6,6,14,13,0,0,1,1,9,9,7,7,0,0,0,0,10,8,10,10,0,0,0,0,8,8,12,11,0,0,1,1,11,10,9,9,0,0,0,0,14,12,17,17,0,0,0,0,10,4,17,16,0,0,0,0,26,20,25,24,0,0,0,0,53,39,28,24,0,0,0,0,41,34,14,14,0,0,0,0,26,20,11,7,0,0,0,0,12,11,12,11,0,0,0,0,226,181,176,163,0,0,2,2,,,,,,,,,,,,,,,,
8,An Phú,25,1,5,0,9,4,0,0,0,0,2,0,5,2,0,0,0,0,3,0,1,0,0,0,0,0,1,1,2,2,0,0,0,0,4,1,3,3,0,0,0,0,3,1,5,2,0,0,0,0,7,3,11,7,0,0,0,0,16,2,19,8,0,0,0,0,22,7,11,6,0,0,0,0,28,8,9,5,0,0,1,1,14,6,10,6,0,0,0,0,6,2,11,5,0,0,0,0,111,31,96,50,0,0,1,1,,,,,,,,,,,,,,,,
9,Tri Tôn,30,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,6,6,3,2,0,0,0,0,4,4,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,5,4,5,5,0,0,0,0,2,2,7,6,0,0,0,0,2,2,10,10,0,0,0,0,0,0,3,3,0,0,0,0,21,20,34,32,0,0,0,0,,,,,,,,,,,,,,,,
10,Tịnh Biên,29,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,7,7,0,0,0,0,,,,,,,,,,,,,,,,
11,Thoại Sơn,33,10,3,2,1,1,0,0,0,0,5,4,1,1,0,0,0,0,2,1,3,2,0,0,0,0,3,2,0,0,0,0,0,0,3,3,1,1,0,0,0,0,3,3,2,0,0,0,0,0,2,1,4,3,0,0,0,0,4,2,6,4,0,0,0,0,5,5,6,5,0,0,0,0,18,15,2,1,0,0,0,0,16,9,6,6,0,0,0,0,14,4,10,6,0,0,0,0,78,51,42,30,0,0,0,0,,,,,,,,,,,,,,,,
12,Tổng cộng,,,52,33,55,41,0,0,1,1,32,22,23,19,0,0,0,0,44,29,37,33,0,0,1,1,52,40,44,40,0,0,2,2,70,49,49,44,0,0,0,0,81,67,64,54,0,0,0,0,85,48,81,65,0,0,0,0,136,89,115,88,0,0,0,0,147,88,98,73,0,0,0,0,136,81,77,63,0,0,1,1,110,67,69,56,0,0,0,0,81,35,80,64,0,0,0,0,1026,648,792,640,0,0,5,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026,648,792,640,0,0,5,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
1,Long Xuyên,23,6,14,13,14,11,0,0,0,0,37,21,19,17,0,0,0,0,68,36,24,17,0,0,0,0,73,49,25,14,0,0,0,0,66,37,21,14,0,0,0,0,115,54,15,13,0,0,0,0,223,108,44,33,0,0,0,0,184,87,50,40,0,0,0,0,161,91,30,25,0,0,0,0,126,57,21,17,0,0,0,0,105,52,23,20,0,0,0,0,110,65,25,21,0,0,0,0,1282,670,311,242,0,0,0,0,,,,,,,,,,,,,,,,
2,Châu Đốc ,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,3,7,7,0,0,0,0,5,1,3,3,0,0,0,0,11,5,9,4,0,0,0,0,1,0,6,6,0,0,0,0,5,2,1,1,0,0,0,0,4,1,1,1,0,0,0,0,36,13,29,24,0,0,0,0,,,,,,,,,,,,,,,,
3,Châu Thành,32,5,2,2,1,0,0,0,0,0,2,2,3,3,0,0,0,0,9,7,2,2,0,0,0,0,10,8,18,18,0,0,0,0,9,6,19,9,0,0,0,0,6,5,10,6,0,0,0,0,55,33,32,28,0,0,0,0,49,24,26,18,0,0,0,0,40,23,13,10,0,0,0,0,25,13,5,3,0,0,0,0,18,13,6,4,0,0,0,0,25,16,18,18,0,0,0,0,250,152,153,119,0,0,0,0,,,,,,,,,,,,,,,,
4,Châu Phú,28,4,5,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,7,4,1,0,0,0,0,0,10,8,3,2,0,0,0,0,16,14,5,5,0,0,0,0,12,11,4,4,0,0,0,0,33,20,10,9,0,0,1,1,45,28,28,14,0,0,0,0,88,57,46,31,0,0,1,1,67,31,55,40,0,0,0,0,77,48,48,32,0,0,0,0,47,31,50,31,0,0,1,1,408,254,251,169,0,0,3,3,,,,,,,,,,,,,,,,
5,Phú Tân,27,7,0,0,2,2,0,0,0,0,1,1,1,1,0,0,0,0,6,2,3,2,0,0,0,0,7,3,16,8,0,0,0,0,1,1,8,6,0,0,0,0,0,0,4,2,0,0,0,0,3,1,14,14,0,0,0,0,11,11,17,13,0,0,0,0,12,8,15,7,0,0,0,0,9,3,14,5,0,0,0,0,11,3,13,6,0,0,0,0,9,2,8,6,0,0,0,0,70,35,115,72,0,0,0,0,,,,,,,,,,,,,,,,
6,Tân Châu,26,9,1,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,5,5,0,0,0,0,2,2,4,4,0,0,0,0,6,5,4,4,0,0,0,0,5,3,13,12,0,0,0,0,1,0,9,9,0,0,0,0,2,2,6,5,0,0,0,0,1,1,5,5,0,0,0,0,1,1,6,5,0,0,0,0,23,17,58,55,0,0,0,0,,,,,,,,,,,,,,,,
7,Chợ Mới,31,2,11,8,8,7,0,0,0,0,8,7,12,11,0,0,0,0,24,12,17,16,0,0,1,1,9,3,18,18,0,0,0,0,16,7,7,7,0,0,0,0,22,13,18,16,0,0,0,0,74,47,38,30,0,0,0,0,97,61,61,52,0,0,1,1,171,123,61,52,0,0,0,0,77,60,43,43,0,0,0,0,111,82,46,44,0,0,0,0,88,66,53,49,0,0,0,0,708,489,382,345,0,0,2,2,,,,,,,,,,,,,,,,
8,An Phú,25,1,0,0,2,1,0,0,0,0,2,1,3,1,0,0,0,0,1,1,2,2,0,0,0,0,3,0,6,1,0,0,0,0,6,1,7,4,0,0,0,0,6,1,0,0,0,0,0,0,15,4,7,4,0,0,0,0,11,5,26,13,0,0,0,0,28,8,15,14,0,0,0,0,24,9,23,19,0,0,1,1,13,3,9,7,0,0,0,0,6,1,1,0,0,0,0,0,115,34,101,66,0,0,1,1,,,,,,,,,,,,,,,,
9,Tri Tôn,30,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,6,4,7,7,0,0,0,0,4,4,5,4,0,0,0,0,5,4,10,10,0,0,0,0,3,2,11,9,0,0,0,0,9,8,11,11,0,0,0,0,4,4,2,1,0,0,0,0,32,27,52,46,0,0,0,0,,,,,,,,,,,,,,,,
10,Tịnh Biên,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,7,0,0,0,0,0,0,4,4,0,0,0,0,4,4,10,7,0,0,0,0,8,6,18,16,0,0,1,1,37,34,36,34,0,0,0,0,18,12,47,38,0,0,0,0,13,8,34,30,0,0,0,0,3,1,15,13,0,0,0,0,85,67,172,149,0,0,1,1,,,,,,,,,,,,,,,,
11,Thoại Sơn,33,10,10,8,8,8,0,0,0,0,13,12,7,7,0,0,0,0,27,14,10,9,0,0,0,0,15,10,6,5,0,0,0,0,10,7,5,5,0,0,0,0,31,11,8,7,0,0,0,0,52,29,6,6,0,0,0,0,61,38,16,13,0,0,0,0,50,27,16,15,0,0,0,0,40,21,9,9,0,0,0,0,73,46,23,18,0,0,0,0,121,80,20,18,0,0,0,0,503,303,134,120,0,0,0,0,,,,,,,,,,,,,,,,
12,Tổng cộng,,,44,33,40,34,0,0,0,0,65,45,45,40,0,0,0,0,142,76,60,49,0,0,1,1,128,82,98,70,0,0,0,0,130,78,87,64,0,0,0,0,196,97,68,57,0,0,0,0,477,258,179,149,0,0,1,1,480,268,263,198,0,0,2,2,604,380,260,211,0,0,1,1,392,210,240,194,0,0,1,1,436,266,219,178,0,0,0,0,418,268,199,163,0,0,1,1,3512,2061,1758,1407,0,0,7,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3512,2061,1758,1407,0,0,7,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
1,Long Xuyên,23,6,48,32,10,8,0,0,0,0,36,13,2,2,0,0,0,0,38,9,10,3,0,0,0,0,72,28,9,5,0,0,0,0,56,17,7,6,0,0,0,0,29,16,7,5,0,0,0,0,51,28,5,5,0,0,0,0,41,16,4,4,0,0,0,0,82,40,8,7,0,0,0,0,43,12,8,8,0,0,0,0,33,11,8,7,0,0,0,0,57,25,3,3,0,0,0,0,586,247,81,63,0,0,0,0,,,,,,,,,,,,,,,,
2,Châu Đốc ,24,3,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,4,1,1,0,0,0,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,5,4,2,2,0,0,0,0,1,1,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,19,16,16,12,0,0,0,0,,,,,,,,,,,,,,,,
3,Châu Thành,32,5,14,4,10,8,0,0,0,0,4,1,1,1,0,0,0,0,10,9,4,3,0,0,0,0,6,5,3,3,0,0,0,0,8,5,3,3,0,0,0,0,5,4,0,0,0,0,0,0,6,2,1,1,0,0,0,0,7,5,1,1,0,0,0,0,17,8,3,2,0,0,0,0,8,7,3,3,0,0,0,0,6,4,0,0,0,0,0,0,13,11,2,2,0,0,0,0,104,65,31,27,0,0,0,0,,,,,,,,,,,,,,,,
4,Châu Phú,28,4,25,14,9,5,0,0,0,0,7,2,4,2,0,0,0,0,10,5,4,3,0,0,0,0,20,15,11,11,0,0,0,0,19,5,8,6,0,0,0,0,13,7,3,3,0,0,0,0,16,8,11,8,0,0,0,0,66,42,16,10,0,0,0,0,33,24,9,8,0,0,0,0,42,22,12,6,0,0,0,0,23,15,6,5,0,0,1,1,36,26,8,8,0,0,0,0,310,185,101,75,0,0,1,1,,,,,,,,,,,,,,,,
5,Phú Tân,27,7,3,2,5,5,0,0,0,0,1,1,1,1,0,0,0,0,2,2,4,2,0,0,0,0,8,3,10,5,0,0,0,0,3,1,7,4,0,0,0,0,2,2,3,1,0,0,0,0,2,2,5,4,0,0,0,0,19,12,15,8,0,0,0,0,11,7,12,9,0,0,0,0,2,1,9,6,0,0,0,0,3,2,7,4,0,0,0,0,0,0,1,1,0,0,0,0,56,35,79,50,0,0,0,0,,,,,,,,,,,,,,,,
6,Tân Châu,26,9,1,1,6,6,0,0,0,0,1,1,2,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,9,7,0,0,0,0,1,0,7,7,0,0,0,0,0,0,7,7,0,0,0,0,15,10,11,10,0,0,0,0,1,1,17,14,0,0,0,0,1,1,14,11,0,0,0,0,8,4,9,6,0,0,0,0,0,0,6,6,0,0,0,0,1,1,8,6,0,0,0,0,30,19,98,83,0,0,0,0,,,,,,,,,,,,,,,,
7,Chợ Mới,31,2,36,21,23,21,0,0,0,0,19,11,10,8,0,0,0,0,25,17,16,16,0,0,0,0,25,20,14,11,0,0,0,0,20,15,13,13,0,0,0,0,22,21,6,5,0,0,0,0,63,55,14,12,0,0,0,0,72,59,33,28,0,0,0,0,74,55,26,22,0,0,0,0,44,37,18,13,0,0,0,0,52,37,24,21,0,0,0,0,54,44,10,10,0,0,0,0,506,392,207,180,0,0,0,0,,,,,,,,,,,,,,,,
8,An Phú,25,1,5,1,6,4,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,8,1,6,2,0,0,0,0,3,0,10,3,0,0,0,0,9,4,8,3,0,0,0,0,9,0,16,6,0,0,0,0,40,14,27,9,0,0,0,0,36,8,48,19,0,0,0,0,5,1,39,15,0,0,0,0,4,1,24,16,0,0,0,0,0,0,6,4,0,0,0,0,122,31,191,82,0,0,0,0,,,,,,,,,,,,,,,,
9,Tri Tôn,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,2,2,0,0,0,0,2,1,1,1,0,0,0,0,6,4,2,2,0,0,0,0,4,4,0,0,0,0,0,0,3,3,2,2,0,0,0,0,7,6,1,1,0,0,0,0,4,4,6,6,0,0,0,0,7,7,4,4,0,0,0,0,2,2,0,0,0,0,0,0,35,31,23,22,0,0,0,0,,,,,,,,,,,,,,,,
10,Tịnh Biên,29,8,2,1,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,3,0,0,0,0,1,1,1,1,0,0,0,0,5,3,23,21,0,0,0,0,,,,,,,,,,,,,,,,
11,Thoại Sơn,33,10,37,19,9,8,0,0,0,0,13,7,3,3,0,0,0,0,7,5,2,2,0,0,0,0,13,9,4,4,0,0,0,0,4,3,1,1,0,0,0,0,5,5,0,0,0,0,0,0,16,12,1,1,0,0,0,0,16,11,1,1,0,0,0,0,11,6,2,2,0,0,0,0,11,8,1,1,0,0,0,0,25,19,2,2,0,0,0,0,42,32,5,5,0,0,0,0,200,136,31,30,0,0,0,0,,,,,,,,,,,,,,,,
12,Tổng cộng,,,173,96,84,71,0,0,0,0,81,36,26,22,0,0,0,0,95,48,48,34,0,0,0,0,157,85,75,57,0,0,0,0,121,51,58,45,0,0,0,0,91,63,39,29,0,0,0,0,185,123,68,50,0,0,0,0,270,167,118,79,0,0,0,0,273,156,128,84,0,0,0,0,167,96,108,65,0,0,0,0,153,96,84,68,0,0,1,1,207,143,45,41,0,0,0,0,1973,1160,881,645,0,0,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,1160,881,645,0,0,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,,,,,February,,,,,,,,,,,,March,,,,,,,,,,,,April,,,,,,,,,,,,May,,,,,,,,,,,,June,,,,,,,,,,,,July,,,,,,,,,,,,August,,,,,,,,,,,,September,,,,,,,,,,,,October,,,,,,,,,,,
,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,
,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,
